"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-07-22,2026-07-31,"[LINS 17KM] [H-M]",active,"Clique de 1 dia",293,profile_visit_view,10823,1.177677,0.23631399,7,Diário,69.24,Contínuo,2026-05-06,12746,5.432292,284,,0.243803,2.22815,276,2.165385,0.25087,,,0.24133061,0.32760596,0,0,,,,,,16,,
2026-07-22,2026-07-31,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",38,actions:leadgen.other,14599,2.993219,12.49052632,64.43,Diário,474.64,Contínuo,2026-06-22,43698,10.861824,396,,1.198586,0.90622,704,1.611058,0.674205,,,0.2009703,0.40606843,0,0,,38,,26,27,20,,
2026-07-22,2026-07-31,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",7,actions:leadgen.other,6756,1.642244,13.36285714,59.6,Diário,93.54,Contínuo,2026-06-22,11095,8.430825,71,,1.317465,0.639928,112,1.009464,0.835179,,,0.13762956,0.27751196,0,0,,7,,2,3,4,,
2026-07-22,2026-07-31,"LINS 17 KM | H-M | 18+",active,"Clique de 7 dias ou visualização de 1 dia",47,actions:onsite_conversion.messaging_conversation_started_7d,12894,2.647355,8.1393617,37.05,Diário,382.55,Contínuo,2026-06-22,34135,11.206972,217,,1.762903,0.635711,546,1.599531,0.700641,,,0,,0,0,,,,39,47,3,,
