"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-01,2026-08-31,"Aberto - Lins 17km [18+][H-M]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2024-06-26,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-08-01,2026-08-31,"Aberto - Lins 17km [18+][H-M] - Novo número",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-09-12,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-08-01,2026-08-31,"[Suporte ao cliente] Aberto - Lins 17km [18+][H-M] - Novo número",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-09-12,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-08-01,2026-08-31,"[LINS 17KM] [H-M]",active,"Clique de 1 dia",1238,profile_visit_view,21022,1.863476,0.17613086,7,Diário,218.05,Contínuo,2026-05-06,39174,5.566192,1016,,0.214616,2.593557,991,2.529739,0.22003,,,0.25024251,0.49941452,0,0,,,,,,38,,
2026-08-01,2026-08-31,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",115,actions:leadgen.other,22893,4.236186,11.76269565,64.43,Diário,1352.71,Contínuo,2026-06-22,96979,13.948484,1194,,1.132923,1.231194,1901,1.960218,0.711578,,,0.21742852,0.31790123,0,0,,115,,52,64,20,,
2026-08-01,2026-08-31,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",63,actions:leadgen.other,17767,3.854506,10.06603175,59.6,Diário,634.16,Contínuo,2026-06-22,68483,9.260108,475,,1.335074,0.693603,806,1.176934,0.786799,,,0.13591694,0.3153367,0,0,,63,,37,45,22,,
2026-08-01,2026-08-31,"LINS 17 KM | H-M | 18+",active,"Clique de 7 dias ou visualização de 1 dia",159,actions:onsite_conversion.messaging_conversation_started_7d,22771,4.374468,6.5254717,37.05,Diário,1037.55,Contínuo,2026-06-22,99611,10.416018,562,,1.846174,0.564195,1923,1.93051,0.539548,,,0.05301623,0.50267698,0,0,,,,123,159,18,,
2026-08-01,2026-08-31,"Aberto - Lins 17km [18+][H-M] � V2",inactive,"Clique de 7 dias ou visualização de 1 dia",12,actions:onsite_conversion.messaging_conversation_started_7d,6538,1.855766,7.80166667,"Usando orçamento da campanha",0,93.62,Contínuo,2026-08-19,12133,7.716146,45,,2.080444,0.370889,181,1.491799,0.517238,2,46.81,0.15536141,0.40046656,0,0,,,,7,12,4,,
