Dia,"Nome do conjunto de anúncios","Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
2026-09-07,"Aberto - Lins 17km [18+][H-M] � V3",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1528,1.17931937,12.41,12.41,�,�,�,1802,6.88679245,4,0,3.1025,0.22197558,31,1.72031077,0.40032258,,,0.1381798,0.34756098,,,,,,1,1,0,2026-09-07,2026-09-07,
2026-09-07,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,2463,1.3000406,7.58857143,53.12,�,�,�,3202,16.58963148,35,0,1.51771429,1.09306683,59,1.84259838,0.90033898,,,0.16801999,0.38571429,,,,7,,1,2,0,2026-09-07,2026-09-07,
2026-09-07,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",1,2017,1.29747149,39.04,39.04,�,�,�,2617,14.91784486,26,0,1.50153846,0.99350401,36,1.37562094,1.08444444,,,0.13106611,0.28571429,,,,1,,,,0,2026-09-07,2026-09-07,
2026-09-07,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1634,1.4253366,11.845,23.69,�,�,�,2329,10.17174753,13,0,1.82230769,0.55817948,26,1.11635895,0.91115385,,,0.00085874,0,,,,,,1,2,0,2026-09-07,2026-09-07,
2026-09-06,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,2481,1.3458283,6.96375,55.71,�,�,�,3339,16.68463612,43,0,1.2955814,1.28781072,71,2.12638515,0.78464789,,,0.17100928,0.34703196,,,,8,,6,8,1,2026-09-06,2026-09-06,
2026-09-06,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,2401,1.43523532,10.54,42.16,�,�,�,3446,12.23447475,30,0,1.40533333,0.87057458,44,1.27684272,0.95818182,,,0.12507255,0.37037037,,,,4,,1,2,0,2026-09-06,2026-09-06,
2026-09-06,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,1368,1.34576023,4.132,20.66,�,�,�,1841,11.22216187,9,0,2.29555556,0.48886475,25,1.35795763,0.8264,,,0,,,,,,,2,5,0,2026-09-06,2026-09-06,
2026-09-06,"Aberto - Lins 17km [18+][H-M] � V3",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,529,1.28733459,6.45,6.45,�,�,�,681,9.47136564,4,0,1.6125,0.58737151,8,1.17474302,0.80625,,,0,,,,,,,1,1,0,2026-09-06,2026-09-06,
2026-09-06,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",21,1086,1.01933702,0.35428571,7.44,�,�,�,1107,6.72086721,16,0,0.465,1.44534779,16,1.44534779,0.465,,,0.18879855,0.53061224,,,,,,,,0,2026-09-06,2026-09-06,
2026-09-05,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",29,1023,1.02639296,0.24689655,7.16,�,�,�,1050,6.81904762,27,0,0.26518519,2.57142857,25,2.38095238,0.2864,,,0.20285714,0.50684932,,,,,,,,2,2026-09-05,2026-09-05,
