"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-09-01,2026-09-10,"Aberto - Lins 17km [18+][H-M]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2024-06-26,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-09-01,2026-09-10,"Aberto - Lins 17km [18+][H-M] - Novo número",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-09-12,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-09-01,2026-09-10,"[Suporte ao cliente] Aberto - Lins 17km [18+][H-M] - Novo número",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-09-12,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-09-01,2026-09-10,"[LINS 17KM] [H-M]",active,"Clique de 1 dia",191,profile_visit_view,7472,1.280246,0.34544503,7,Diário,65.98,Contínuo,2026-05-06,9566,6.897345,172,,0.383605,1.798035,166,1.735313,0.39747,,,0.2090738,0.50561798,0,0,,,,,,6,,
2026-09-01,2026-09-10,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",43,actions:leadgen.other,9755,2.876679,10.3072093,64.43,Diário,443.21,Contínuo,2026-06-22,28062,15.793956,302,,1.467583,1.076188,492,1.753261,0.900833,,,0.17461336,0.31716418,0,0,,43,,22,29,4,,
2026-09-01,2026-09-10,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,"Clique de 7 dias ou visualização de 1 dia",28,actions:leadgen.other,9378,3.179996,11.96035714,59.6,Diário,334.89,Contínuo,2026-06-22,29822,11.229629,231,,1.44974,0.774596,359,1.203809,0.932841,,,0.09546643,0.39037433,0,0,,28,,15,17,4,,
2026-09-01,2026-09-10,"LINS 17 KM | H-M | 18+",active,"Clique de 7 dias ou visualização de 1 dia",29,actions:onsite_conversion.messaging_conversation_started_7d,8034,2.626463,9.31172414,37.05,Diário,270.04,Contínuo,2026-06-22,21101,12.797498,110,,2.454909,0.521302,306,1.450168,0.882484,,,0.06795886,0.48349515,0,0,,,,14,29,3,,
2026-09-01,2026-09-10,"Aberto - Lins 17km [18+][H-M] � V2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2026-08-19,0,0,,,,,0,0,0,,,,,0,0,,,,,,0,,
2026-09-01,2026-09-10,"Aberto - Lins 17km [18+][H-M] � V3",active,"Clique de 7 dias ou visualização de 1 dia",6,actions:onsite_conversion.messaging_conversation_started_7d,5239,2.023478,17.225,"Usando orçamento da campanha",0,103.35,Contínuo,2026-09-01,10601,9.74908,35,,2.952857,0.330158,138,1.301764,0.748913,,,0.07838883,0.35368043,0,0,,,,4,6,0,,
