"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-07,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,4148,1.40284474,11.52,92.16,�,�,�,5819,15.83777281,61,0,1.51081967,1.04829008,95,1.63258292,0.97010526,,,0.15140058,0.35093168,,,,8,,1,2,0,2026-09-07,2026-09-07,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-06,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",21,1086,1.01933702,0.35428571,7.44,�,�,�,1107,6.72086721,16,0,0.465,1.44534779,16,1.44534779,0.465,,,0.18879855,0.53061224,,,,,,,,0,2026-09-06,2026-09-06,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-06,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",12,4388,1.54626253,8.15583333,97.87,�,�,�,6785,14.42446573,73,0,1.34068493,1.07590273,115,1.69491525,0.85104348,,,0.1476787,0.3559322,,,,12,,7,10,1,2026-09-06,2026-09-06,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-06,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,1368,1.34576023,4.132,20.66,�,�,�,1841,11.22216187,9,0,2.29555556,0.48886475,25,1.35795763,0.8264,,,0,,,,,,,2,5,0,2026-09-06,2026-09-06,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-06,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,529,1.28733459,6.45,6.45,�,�,�,681,9.47136564,4,0,1.6125,0.58737151,8,1.17474302,0.80625,,,0,,,,,,,1,1,0,2026-09-06,2026-09-06,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-05,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,1029,1.34596696,,12.38,�,�,�,1385,8.93862816,5,0,2.476,0.36101083,12,0.86642599,1.03166667,,,0.04693141,0.45,,,,,,,,0,2026-09-05,2026-09-05,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-05,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1005,1.50746269,5.41333333,16.24,�,�,�,1515,10.71947195,10,0,1.624,0.66006601,23,1.51815182,0.70608696,,,0.0369637,0.28,,,,,,2,3,0,2026-09-05,2026-09-05,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-05,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",29,1023,1.02639296,0.24689655,7.16,�,�,�,1050,6.81904762,27,0,0.26518519,2.57142857,25,2.38095238,0.2864,,,0.20285714,0.50684932,,,,,,,,2,2026-09-05,2026-09-05,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-05,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3818,1.58800419,17.128,85.64,�,�,�,6063,14.12502062,62,0,1.38129032,1.02259607,91,1.50090714,0.9410989,,,0.06712848,0.47398844,,,,5,,3,5,2,2026-09-05,2026-09-05,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-04,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,762,1.46325459,,11.16,�,�,�,1115,10.00896861,5,0,2.232,0.44843049,9,0.80717489,1.24,,,0,,,,,,,,,0,2026-09-04,2026-09-04,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-04,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1541,1.43218689,11.115,22.23,�,�,�,2207,10.0724966,15,0,1.482,0.67965564,29,1.31400091,0.76655172,,,0.00498414,0.2,,,,,,2,2,0,2026-09-04,2026-09-04,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-04,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",10,839,1,0.612,6.12,�,�,�,839,7.29439809,9,0,0.68,1.0727056,8,0.95351609,0.765,,,0.20619785,0.52083333,,,,,,,,0,2026-09-04,2026-09-04,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-04,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,3484,1.63002296,22.79333333,68.38,�,�,�,5679,12.04085226,54,0,1.2662963,0.95087163,76,1.33826378,0.89973684,,,0.02341962,0.36507937,,,,3,,2,2,0,2026-09-04,2026-09-04,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-03,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",22,925,1.03243243,0.3,6.6,�,�,�,955,6.91099476,20,0,0.33,2.09424084,20,2.09424084,0.33,,,0.18743455,0.47058824,,,,,,,,1,2026-09-03,2026-09-03,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-03,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",6,5034,1.43166468,15.88833333,95.33,�,�,�,7207,13.22741779,56,0,1.70232143,0.77702234,87,1.20715971,1.09574713,,,0.09019009,0.34375,,,,6,,4,5,1,2026-09-03,2026-09-03,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-03,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,757,1.44121532,11.23,11.23,�,�,�,1091,10.29330889,3,0,3.74333333,0.27497709,12,1.09990834,0.93583333,,,0,,,,,,,,1,0,2026-09-03,2026-09-03,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-03,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,2743,1.27087131,8.58,42.9,�,�,�,3486,12.30636833,20,0,2.145,0.57372347,76,2.18014917,0.56447368,,,0.0524957,0.42105263,,,,,,1,5,0,2026-09-03,2026-09-03,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-02,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,561,1.36898396,5.03,10.06,�,�,�,768,13.09895833,4,0,2.515,0.52083333,22,2.86458333,0.45727273,,,0.01822917,0.3,,,,,,1,2,0,2026-09-02,2026-09-02,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-02,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,459,1.64705882,,13.44,�,�,�,756,17.77777778,2,0,6.72,0.26455026,19,2.51322751,0.70736842,,,0.21296296,0.65671642,,,,,,,,0,2026-09-02,2026-09-02,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-02,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",18,893,1.06830907,0.38444444,6.92,�,�,�,954,7.25366876,13,0,0.53230769,1.36268344,13,1.36268344,0.53230769,,,0.20440252,0.48076923,,,,,,,,0,2026-09-02,2026-09-02,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-02,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,4317,1.45123929,8.64,69.12,�,�,�,6265,11.03272147,53,0,1.30415094,0.84596967,89,1.42059058,0.77662921,,,0.14541101,0.37974684,,,,8,,5,6,3,2026-09-02,2026-09-02,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-01,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,419,1.21957041,,5.34,�,�,�,511,10.45009785,1,0,5.34,0.19569472,3,0.58708415,1.78,,,0.09589041,0.29411765,,,,,,,,0,2026-09-01,2026-09-01,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-01,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1916,1.41649269,11.27666667,33.83,�,�,�,2714,12.46499632,11,0,3.07545455,0.40530582,38,1.40014738,0.89026316,,,0.20560059,0.51152074,,,,,,2,3,1,2026-09-01,2026-09-01,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-01,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",29,1147,1.05318221,0.24068966,6.98,�,�,�,1208,5.7781457,26,0,0.26846154,2.15231788,25,2.06953642,0.2792,,,0.22433775,0.61764706,,,,,,,,1,2026-09-01,2026-09-01,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-01,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",9,4235,1.53246753,7.39444444,66.55,�,�,�,6490,10.25423729,43,0,1.54767442,0.66255778,76,1.17103236,0.87565789,,,0.14884438,0.35,,,,9,,4,4,1,2026-09-01,2026-09-01,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-31,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",30,1286,1.01477449,0.26633333,7.99,�,�,�,1305,6.12260536,23,0,0.3473913,1.76245211,22,1.68582375,0.36318182,,,0.20689655,0.54166667,,,,,,,,1,2026-08-31,2026-08-31,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-31,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",14,4753,1.55396592,5.91142857,82.76,�,�,�,7386,11.2049824,55,0,1.50472727,0.74465204,106,1.43514758,0.78075472,,,0.17316545,0.39085239,,,,14,,8,9,2,2026-08-31,2026-08-31,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-31,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,1630,1.28895706,4.672,23.36,�,�,�,2101,11.11851499,9,0,2.59555556,0.42836744,54,2.57020466,0.43259259,,,0.24416944,0.50236967,,,,,,4,5,0,2026-08-31,2026-08-31,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-30,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,2010,1.23930348,11.095,22.19,�,�,�,2491,8.90806905,10,0,2.219,0.4014452,75,3.01083902,0.29586667,,,0.26334805,0.49815498,,,,,,1,2,1,2026-08-30,2026-08-30,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-30,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",22,1242,1.05394525,0.32545455,7.16,�,�,�,1309,5.46982429,20,0,0.358,1.52788388,20,1.52788388,0.358,,,0.19938885,0.6056338,,,,,,,,1,2026-08-30,2026-08-30,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-30,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,4671,1.49411261,10.99,87.92,�,�,�,6979,12.59779338,67,0,1.31223881,0.96002293,116,1.66212924,0.75793103,,,0.17982519,0.37352246,,,,8,,2,2,0,2026-08-30,2026-08-30,
