"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-23,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,2113,1.21864647,5.3475,21.39,�,�,�,2575,8.30679612,14,0,1.52785714,0.54368932,55,2.13592233,0.38890909,,,0.0015534,1,,,,,,4,4,0,2026-08-23,2026-08-23,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-23,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",30,1512,1.0462963,0.273,8.19,�,�,�,1582,5.17699115,20,0,0.4095,1.2642225,20,1.2642225,0.4095,,,0.20037927,0.69411765,,,,,,,,1,2026-08-23,2026-08-23,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-23,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,4910,1.30610998,19.0625,76.25,�,�,�,6413,11.88991112,61,0,1.25,0.95119289,111,1.73085919,0.68693694,,,0.20333697,0.31786543,,,,4,,2,2,3,2026-08-23,2026-08-23,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-22,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",31,1258,1.04372019,0.23709677,7.35,�,�,�,1313,5.59786748,27,0,0.27222222,2.05635948,26,1.98019802,0.28269231,,,0.21934501,0.60215054,,,,,,,,1,2026-08-22,2026-08-22,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-22,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3654,1.34783799,12.46,62.3,�,�,�,4925,12.64974619,52,0,1.19807692,1.05583756,79,1.60406091,0.78860759,,,0.21969543,0.29295775,,,,5,,3,3,1,2026-08-22,2026-08-22,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-22,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1273,1.1264729,10.46,10.46,�,�,�,1434,7.29428173,8,0,1.3075,0.55788006,24,1.67364017,0.43583333,,,0.17433752,0.36075949,,,,,,,1,1,2026-08-22,2026-08-22,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-22,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1909,1.26191723,10.16,20.32,�,�,�,2409,8.43503528,10,0,2.032,0.41511,48,1.99252802,0.42333333,,,0.00083022,,,,,,,2,2,1,2026-08-22,2026-08-22,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-21,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,881,1.24631101,9.17,9.17,�,�,�,1098,8.35154827,1,0,9.17,0.09107468,13,1.18397086,0.70538462,,,0.17030965,0.43609023,,,,,,1,1,0,2026-08-21,2026-08-21,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-21,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",10,3448,1.24448956,3.522,35.22,�,�,�,4291,8.20787695,27,0,1.30444444,0.62922396,92,2.14402237,0.38282609,,,0.00512701,1,,,,,,10,10,0,2026-08-21,2026-08-21,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-21,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",37,1258,1.03656598,0.20162162,7.46,�,�,�,1304,5.7208589,31,0,0.24064516,2.37730061,30,2.3006135,0.24866667,,,0.21625767,0.58695652,,,,,,,,1,2026-08-21,2026-08-21,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-21,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3432,1.3455711,13.034,65.17,�,�,�,4618,14.11216977,52,0,1.25326923,1.12602858,81,1.75400606,0.8045679,,,0.24252923,0.28660436,,,,5,,3,5,2,2026-08-21,2026-08-21,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-20,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,928,1.2575431,2.3575,9.43,�,�,�,1167,8.08054841,9,0,1.04777778,0.77120823,27,2.31362468,0.34925926,,,0.17652099,0.48427673,,,,,,3,4,0,2026-08-20,2026-08-20,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-20,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1347,1.52041574,6.79333333,20.38,�,�,�,2048,9.95117188,12,0,1.69833333,0.5859375,30,1.46484375,0.67933333,,,0.05029297,0.5483871,,,,,,2,3,0,2026-08-20,2026-08-20,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-20,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",42,1406,1.05974395,0.20857143,8.76,�,�,�,1490,5.87919463,38,0,0.23052632,2.55033557,36,2.41610738,0.24333333,,,0.21006711,0.58415842,,,,,,,,1,2026-08-20,2026-08-20,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-20,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,3659,1.37250615,12.894,64.47,�,�,�,5022,12.83751493,50,0,1.2894,0.99561928,74,1.47351653,0.87121622,,,0.22361609,0.275,,,,5,,1,2,2,2026-08-20,2026-08-20,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-08-19,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,276,1.22463768,4.23,4.23,�,�,�,338,12.5147929,1,0,4.23,0.29585799,3,0.88757396,1.41,1,4.23,0.06508876,0.41176471,,,,,,1,1,0,2026-08-19,2026-08-19,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-19,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",11,3150,1.35238095,3.73454545,41.08,�,�,�,4260,9.64319249,29,0,1.41655172,0.68075117,63,1.47887324,0.65206349,,,0.03403756,0.46808511,,,,,,8,11,0,2026-08-19,2026-08-19,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-19,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",29,1227,1.04400978,0.24689655,7.16,�,�,�,1281,5.58938329,23,0,0.31130435,1.79547229,23,1.79547229,0.31130435,,,0.19672131,0.58208955,,,,,,,,0,2026-08-19,2026-08-19,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-19,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,4111,1.40111895,13.904,69.52,�,�,�,5760,12.06944444,56,0,1.24142857,0.97222222,91,1.57986111,0.76395604,,,0.20920139,0.28531073,,,,5,,3,4,3,2026-08-19,2026-08-19,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-18,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,3567,1.38772077,8.01571429,56.11,�,�,�,4950,11.33535354,31,0,1.81,0.62626263,75,1.51515152,0.74813333,,,0.01373737,0.5,,,,,,4,7,2,2026-08-18,2026-08-18,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-18,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",30,1251,1.06394884,0.21233333,6.37,�,�,�,1331,4.78587528,23,0,0.27695652,1.72802404,23,1.72802404,0.27695652,,,0.24793388,0.49494949,,,,,,,,0,2026-08-18,2026-08-18,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-18,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,4456,1.29690305,6.69,53.52,�,�,�,5779,9.26111784,41,0,1.30536585,0.70946531,79,1.36701852,0.67746835,,,0.17044471,0.27129338,,,,8,,4,6,3,2026-08-18,2026-08-18,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-17,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,4472,1.39333631,9.14714286,64.03,�,�,�,6231,10.27603916,55,0,1.16418182,0.88268336,92,1.47648853,0.69597826,,,0.18873375,0.3573201,,,,7,,5,5,1,2026-08-17,2026-08-17,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-17,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,2681,1.39873182,7.15857143,50.11,�,�,�,3750,13.36266667,22,0,2.27772727,0.58666667,76,2.02666667,0.65934211,,,0.12266667,0.44444444,,,,,,5,7,1,2026-08-17,2026-08-17,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-17,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",33,808,1,0.12575758,4.15,�,�,�,808,5.13613861,23,0,0.18043478,2.84653465,22,2.72277228,0.18863636,,,0.28836634,0.52688172,,,,,,,,1,2026-08-17,2026-08-17,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-16,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",6,5333,1.36921058,13.35666667,80.14,�,�,�,7302,10.97507532,80,0,1.00175,1.09559025,132,1.80772391,0.60712121,,,0.20104081,0.2832618,,,,6,,4,4,2,2026-08-16,2026-08-16,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-16,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",61,1301,1.01076095,0.12639344,7.71,�,�,�,1315,5.86311787,48,0,0.160625,3.65019011,47,3.57414449,0.16404255,,,0.32623574,0.54450262,,,,,,,,2,2026-08-16,2026-08-16,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-16,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1273,1.27808327,17.72,17.72,�,�,�,1627,10.89121082,7,0,2.53142857,0.4302397,24,1.47510756,0.73833333,,,0.18500307,0.47368421,,,,,,1,1,0,2026-08-16,2026-08-16,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-15,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,2262,1.32625995,8.57,34.28,�,�,�,3000,11.42666667,16,0,2.1425,0.53333333,56,1.86666667,0.61214286,,,0.219,0.47938144,,,,,,3,4,1,2026-08-15,2026-08-15,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-15,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",69,948,1.01898734,0.08681159,5.99,�,�,�,966,6.20082816,53,0,0.11301887,5.48654244,51,5.27950311,0.11745098,,,0.33540373,0.55294118,,,,,,,,1,2026-08-15,2026-08-15,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-15,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,3830,1.35248042,18.92,56.76,�,�,�,5180,10.95752896,56,0,1.01357143,1.08108108,82,1.58301158,0.69219512,,,0.14903475,0.296875,,,,3,,1,1,0,2026-08-15,2026-08-15,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-14,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",2,3077,1.40916477,23.105,46.21,�,�,�,4336,10.65728782,37,0,1.24891892,0.85332103,59,1.36070111,0.78322034,,,0.06457565,0.33035714,,,,2,,1,1,3,2026-08-14,2026-08-14,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-14,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1782,1.29349046,12.71,25.42,�,�,�,2305,11.02819957,7,0,3.63142857,0.30368764,35,1.51843818,0.72628571,,,0.21171367,0.49206349,,,,,,1,2,1,2026-08-14,2026-08-14,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-14,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",75,936,1.02777778,0.08533333,6.4,�,�,�,962,6.65280665,60,0,0.10666667,6.23700624,58,6.02910603,0.11034483,,,0.37629938,0.54497354,,,,,,,,4,2026-08-14,2026-08-14,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-13,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",50,816,1.04901961,0.1106,5.53,�,�,�,856,6.46028037,39,0,0.14179487,4.55607477,39,4.55607477,0.14179487,,,0.36565421,0.52317881,,,,,,,,3,2026-08-13,2026-08-13,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-13,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,1921,1.39354503,10.12333333,30.37,�,�,�,2677,11.34478894,12,0,2.53083333,0.44826298,49,1.83040717,0.61979592,,,0.20694808,0.49305556,,,,,,1,3,2,2026-08-13,2026-08-13,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-13,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",9,3602,1.43892282,6.46111111,58.15,�,�,�,5183,11.21937102,48,0,1.21145833,0.92610457,85,1.63997685,0.68411765,,,0.11036079,0.33157895,,,,9,,6,6,0,2026-08-13,2026-08-13,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-12,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,4541,1.25324818,19.27666667,57.83,�,�,�,5691,10.16165876,44,0,1.31431818,0.77315059,76,1.33544193,0.76092105,,,0.17923036,0.33707865,,,,3,,3,3,0,2026-08-12,2026-08-12,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-12,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,2208,1.45788043,9.65,38.6,�,�,�,3219,11.99130165,9,0,4.28888889,0.27958993,57,1.77073625,0.67719298,,,0.22336129,0.54326923,,,,,,3,4,1,2026-08-12,2026-08-12,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-12,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",56,881,1.0261067,0.09517857,5.33,�,�,�,904,5.8960177,40,0,0.13325,4.42477876,39,4.31415929,0.13666667,,,0.38274336,0.53374233,,,,,,,,2,2026-08-12,2026-08-12,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-11,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",12,3820,1.37565445,4.95,59.4,�,�,�,5255,11.30352046,29,0,2.04827586,0.55185538,105,1.99809705,0.56571429,,,0.06489058,0.54054054,,,,,,12,12,1,2026-08-11,2026-08-11,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-11,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",83,1231,1.04630382,0.09144578,7.59,�,�,�,1288,5.89285714,60,0,0.1265,4.65838509,59,4.58074534,0.12864407,,,0.36956522,0.57674419,,,,,,,,4,2026-08-11,2026-08-11,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-11,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",9,4611,1.36738235,7.20222222,64.82,�,�,�,6305,10.28072958,53,0,1.22301887,0.8406027,96,1.52260111,0.67520833,,,0.17272006,0.29620253,,,,9,,7,8,4,2026-08-11,2026-08-11,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-10,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",7,2425,1.35505155,6.97428571,48.82,�,�,�,3286,14.85696896,18,0,2.71222222,0.54777845,64,1.94765673,0.7628125,,,0,,,,,,,6,7,1,2026-08-10,2026-08-10,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-10,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",91,1933,1.06880497,0.11131868,10.13,�,�,�,2066,4.90319458,74,0,0.13689189,3.58180058,72,3.48499516,0.14069444,,,0.30251694,0.45357143,,,,,,,,2,2026-08-10,2026-08-10,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-10,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",1,4188,1.27077364,64.13,64.13,�,�,�,5322,12.04998121,55,0,1.166,1.03344607,92,1.72867343,0.69706522,,,0.18883878,0.3415978,,,,1,,,1,0,2026-08-10,2026-08-10,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-09,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,3205,1.20156006,15.3175,61.27,�,�,�,3851,15.91015321,57,0,1.07491228,1.48013503,81,2.10334978,0.75641975,,,0.19215788,0.27888446,,,,4,,,,0,2026-08-09,2026-08-09,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-09,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,1840,1.27282609,6.7375,26.95,�,�,�,2342,11.50725875,16,0,1.684375,0.68317677,43,1.83603757,0.62674419,,,0,,,,,,,3,4,1,2026-08-09,2026-08-09,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-09,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",35,1501,1.02265157,0.22914286,8.02,�,�,�,1535,5.2247557,35,0,0.22914286,2.28013029,34,2.21498371,0.23588235,,,0.20325733,0.3,,,,,,,,1,2026-08-09,2026-08-09,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-08,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,2682,1.2665921,7.346,36.73,�,�,�,3397,10.8124816,22,0,1.66954545,0.64763026,64,1.88401531,0.57390625,,,0,,,,,,,5,5,0,2026-08-08,2026-08-08,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-08,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",32,1242,1.04347826,0.2325,7.44,�,�,�,1296,5.74074074,22,0,0.33818182,1.69753086,22,1.69753086,0.33818182,,,0.23148148,0.34146341,,,,,,,,1,2026-08-08,2026-08-08,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-08,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",2,2700,1.18333333,29.355,58.71,�,�,�,3195,18.37558685,60,0,0.9785,1.87793427,86,2.69170579,0.68267442,,,0.22973396,0.31141869,,,,2,,2,2,0,2026-08-08,2026-08-08,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-07,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,2341,1.3310551,7.6525,30.61,�,�,�,3116,9.82349166,17,0,1.80058824,0.54557125,43,1.37997433,0.71186047,,,0,,,,,,,4,4,0,2026-08-07,2026-08-07,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-07,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",34,1096,1.03010949,0.20852941,7.09,�,�,�,1129,6.27989371,30,0,0.23633333,2.65721878,30,2.65721878,0.23633333,,,0.25332152,0.31168831,,,,,,,,1,2026-08-07,2026-08-07,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-07,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,2427,1.18541409,9.598,47.99,�,�,�,2877,16.68057004,39,0,1.23051282,1.35557873,58,2.01598888,0.82741379,,,0.22419187,0.24786325,,,,5,,1,1,0,2026-08-07,2026-08-07,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-06,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",28,1171,1.01793339,0.24178571,6.77,�,�,�,1192,5.6795302,28,0,0.24178571,2.34899329,28,2.34899329,0.24178571,,,0.2466443,0.26470588,,,,,,,,2,2026-08-06,2026-08-06,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-06,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,3919,1.29318704,20.99666667,62.99,�,�,�,5068,12.42896606,41,0,1.53634146,0.80899763,74,1.46014207,0.85121622,,,0.20540647,0.33230769,,,,3,,,1,0,2026-08-06,2026-08-06,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-06,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,2088,1.39272031,6.546,32.73,�,�,�,2908,11.25515818,17,0,1.92529412,0.58459422,45,1.5474553,0.72733333,,,0,,,,,,,3,5,0,2026-08-06,2026-08-06,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-05,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",8,3243,1.28029602,6.25875,50.07,�,�,�,4152,12.05924855,38,0,1.31763158,0.91522158,67,1.61368015,0.74731343,,,0.19364162,0.37458194,,,,8,,3,4,1,2026-08-05,2026-08-05,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-05,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",28,953,1.00314795,0.20285714,5.68,�,�,�,956,5.94142259,25,0,0.2272,2.61506276,23,2.40585774,0.24695652,,,0.28974895,0.325,,,,,,,,0,2026-08-05,2026-08-05,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-05,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,2273,1.46458425,13.89666667,41.69,�,�,�,3329,12.52328026,12,0,3.47416667,0.36046861,34,1.02132773,1.22617647,,,0,,,,,,,2,3,0,2026-08-05,2026-08-05,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-04,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",9,3795,1.43504611,5.61444444,50.53,�,�,�,5446,9.27836945,39,0,1.29564103,0.71612192,105,1.92802057,0.4812381,,,0,,,,,,,9,9,3,2026-08-04,2026-08-04,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-04,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",33,1535,1.02540717,0.2330303,7.69,�,�,�,1574,4.88564168,34,0,0.22617647,2.16010165,32,2.03303685,0.2403125,,,0.23697586,0.31775701,,,,,,,,1,2026-08-04,2026-08-04,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-04,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,4167,1.2937365,9.08571429,63.6,�,�,�,5391,11.79744018,51,0,1.24705882,0.94602115,82,1.52105361,0.77560976,,,0.16898535,0.33236152,,,,7,,2,3,2,2026-08-04,2026-08-04,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-03,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",4,1301,1.53036126,5.1325,20.53,�,�,�,1991,10.31140131,9,0,2.28111111,0.45203415,40,2.00904068,0.51325,,,0,,,,,,,4,4,0,2026-08-03,2026-08-03,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-03,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",40,1260,1.00634921,0.157,6.28,�,�,�,1268,4.95268139,37,0,0.16972973,2.91798107,35,2.76025237,0.17942857,,,0.24211356,0.33944954,,,,,,,,2,2026-08-03,2026-08-03,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-03,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,3912,1.28220859,12.555,50.22,�,�,�,5016,10.01196172,47,0,1.06851064,0.93700159,74,1.47527911,0.67864865,,,0.20514354,0.39417989,,,,4,,4,6,0,2026-08-03,2026-08-03,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-02,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",37,1723,1.03482298,0.21702703,8.03,�,�,�,1783,4.50364554,33,0,0.24333333,1.85081324,33,1.85081324,0.24333333,,,0.21648906,0.25,,,,,,,,0,2026-08-02,2026-08-02,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-02,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,4681,1.32044435,16.8375,67.35,�,�,�,6181,10.8962951,94,0,0.71648936,1.52078952,126,2.0385051,0.53452381,,,0.17974438,0.32603406,,,,4,,1,1,1,2026-08-02,2026-08-02,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-02,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",11,3649,1.35023294,4.88545455,53.74,�,�,�,4927,10.90724579,32,0,1.679375,0.64948244,116,2.35437386,0.46327586,,,0,,,,,,,6,11,0,2026-08-02,2026-08-02,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-08-01,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,3268,1.32833537,8.03,40.15,�,�,�,4341,9.24902096,28,0,1.43392857,0.64501267,65,1.49735084,0.61769231,,,0,,,,,,,3,5,1,2026-08-01,2026-08-01,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-08-01,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",33,1374,1.04585153,0.21636364,7.14,�,�,�,1437,4.96868476,31,0,0.23032258,2.15727209,30,2.08768267,0.238,,,0.25191371,0.32653061,,,,,,,,2,2026-08-01,2026-08-01,
"FORMS [ABO] [FRIO] 22.06.2026",2026-08-01,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,4130,1.29491525,18.53666667,55.61,�,�,�,5348,10.39827973,58,0,0.9587931,1.08451758,85,1.58937921,0.65423529,,,0.21821242,0.33165829,,,,3,,,1,1,2026-08-01,2026-08-01,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-07-31,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",5,2417,1.40587505,7.086,35.43,�,�,�,3398,10.4267216,25,0,1.4172,0.7357269,56,1.64802825,0.63267857,,,0,,,,,,,5,5,3,2026-07-31,2026-07-31,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-07-31,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",27,1068,1.02434457,0.24222222,6.54,�,�,�,1094,5.97806216,25,0,0.2616,2.28519196,24,2.19378428,0.2725,,,0.2714808,0.31428571,,,,,,,,0,2026-07-31,2026-07-31,
"FORMS [ABO] [FRIO] 22.06.2026",2026-07-31,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",5,4368,1.26259158,11.166,55.83,�,�,�,5515,10.12330009,50,0,1.1166,0.90661831,79,1.43245694,0.70670886,,,0.19582956,0.38653367,,,,5,,3,3,4,2026-07-31,2026-07-31,
